code,transect,region,elevation,type,plot,plot.num,plot.num.log,lat,lon,elevation.lidar,Tax.rich,Prop.spe,Tax.spe,Tax.gen,Tax.even,Tax.div,Phy.rich,Phy.even,Phy.div,Fun.rich,Fun.even,Fun.div,cff,cmin,ctot,tree.cover,cagb,agb,agb.stem,summer.air,summer.soil,winter.air,winter.soil,nectar,usable,foliar.N,foliar.C,foliar.CN,sand,silt,clay,ph,c10,n10,cn10,olsen.p,k,mg,ca,weight_oh_of_ol,pai,ba,canhei,sca,tmean.air,tmax.air,tmin.air,tmean.soil,tmax.soil,tmin.soil,BIO1,BIO5,BIO6,forcov_500,forestedge,tmeanann,pann,aridity,ndep,spei21_May2018,shrub.ric,tree.ric,total.ric,shrub.nectar,tree.nectar,total.nectar,shrub.phy,tree.phy,total.phy
BE_LO_T2_P1,BELOT2,BE,LO,T2,P1,1.5,0.405465108,50.769688,3.931062,60,6,0.5,3,3,0.662446383,1.47170373,2.398438856,0.317698227,0.399739809,0.430789357,0.705608075,0.013779603,6.223331075,90.52592374,96.74925482,0.035,350.55,745.8510638,532.7507599,-8.555734767,-7.982078853,0.207144843,0.627039303,4.944444444,0.111111111,23.07611111,412.5466667,17.98196364,20.3,67.6,12.1,4.678,5.919,0.416,14.22836538,17.9272,130.14,180.74,1392.6,61.99,6.09,75.88271605,27.5,2.725925926,11.13837567,34.85,-3.3,10.59706986,21,2,11.19602157,16.31451613,0.361290323,66.94162437,2.480607832,10.4,863,42.30392157,17.40594225,-0.254140192,3,3,12,1.715,1.22173913,7.881183574,0.367755167,0.351452708,0.319189833
BE_LO_T2_P2,BELOT2,BE,LO,T2,P2,4.5,1.504077397,50.769759,3.9309895,62.53499985,10,0.4,4,6,0.31595554,1.895569216,3.835114688,0.351537603,0.383511469,0.472600548,0.485553848,0.007866913,3.221387125,106.7319468,109.9533339,0.16,275.29,585.7234043,418.3738602,-9.637634409,-8.420519713,0.339778987,0.690827109,6.353278689,0.344262295,24.32183673,416.8591837,17.23040483,14.7,74.5,10.8,4.633,7.15,0.508,14.07480315,23.9152,244.14,168.82,1188,33.55,5.31,76.19907407,29.5,2.829545455,11.21932737,32.925,-3,10.34242687,20.5,2,11.27612434,16.49112903,0.491935484,66.68781726,2.412566788,10.4,863,42.30392157,17.16884809,-0.254140192,2,2,14,0.140983607,0.67826087,7.172523165,0.380662133,0.356208444,0.319372916
BE_LO_T2_P3,BELOT2,BE,LO,T2,P3,12.5,2.525728644,50.7697251,3.9310935,68.04299927,8,0.5,4,4,0.265416599,1.351556292,3.222064254,0.284798832,0.402758032,0.472600548,0.489298747,0.014392421,3.5132157,114.9813428,118.4945585,0.09,110.95,236.0638298,168.6170213,-9.919892473,-8.367473118,0.226352693,0.923264606,23.48241758,0.098901099,27.24269663,416.2594382,15.60445347,25.6,63.2,11.2,4.977,9.397,0.63,14.91587302,25.7018,196.48,266.04,2514.4,32.94,6.47,35.80246914,30,3.425,11.07265204,31.85,-3,10.44053118,20,2,11.13008751,16.3,0.408870968,67.15282181,2.462970192,10.4,863,42.30392157,16.64233817,-0.254140192,3,3,14,4.707692308,22.9037037,51.09381359,0.375375118,0.34357457,0.320250487
BE_LO_T2_P4,BELOT2,BE,LO,T2,P4,35.5,3.569532696,50.7699469,3.9312499,70.4980011,7,0.43,3,4,0.403637746,1.363316754,4.778174305,0.490460255,0.682596329,0.420641364,0.567093165,0.019229009,4.668581775,107.606236,112.2748178,0.035,75.01,159.5957447,113.9969605,-9.009050179,-8.252688172,0.120971052,0.760666614,1.412195122,0.219512195,25.88930556,437.0643056,16.98586436,16.5,68.9,14.6,3.952,12.726,0.738,17.24390244,113.137,227.06,107.02,674.4,64.97,4.76,23.3904321,28.5,2,11.07561105,32,-3.3,10.44897517,20.425,2.2,11.13268213,16.20241935,0.420967742,68.59137056,2.334066682,10.4,863,42.30392157,15.72530455,-0.254140192,0,1,8,NA,0,1.412195122,NA,NA,0.608928371
BE_LO_T2_P5,BELOT2,BE,LO,T2,P5,50,3.912023005,50.7700436,3.9312841,73.55899811,4,0.25,1,3,0.211815326,1.109697473,3.165771936,0.725687039,0.791442984,0.067902169,0.883738906,0.020774841,8.022053175,81.31289538,89.33494856,0.115,55.02,117.0638298,83.61702128,-9.578315412,-9.097759857,0.174145214,1.003658165,0,0.422535211,32.79704225,440.668169,13.53731773,39.8,49.9,10.3,3.985,7.084,0.431,16.4361949,50.2368,180.54,79.9,468.2,113.43,5.77,16.98302469,27,2.183673469,10.96350558,31.85,-3.5,10.23758661,19,2.7,11.0218254,16.15483871,0.452419355,68.78575969,2.45785861,10.4,863,42.30392157,15.42284035,-0.254140192,4,1,9,32.72307692,0,32.72307692,0.289085805,NA,0.551436996
BE_LO_T3_P1,BELOT3,BE,LO,T3,P1,1.5,0.405465108,50.9731169,3.8035539,28.2159996,1,0,0,1,NA,0,NA,NA,NA,NA,NA,0,2.6332341,57.5657366,60.1989707,0.015,68.37,145.4680851,103.9057751,-5.391756272,-6.538709677,0.190168309,1.365475528,NA,NA,NA,NA,NA,43.6,46.4,10,4.074,4.305,0.256,16.81640625,12.5572,70.26,89.84,442,27.02,2.09,10.42283951,26.5,2.6,12.35878502,38.5,-4,11.47931892,23.425,2.5,12.42392352,15.25322581,0.366935484,35.29784537,3.640392957,10.5,809,39.46341463,17.40594225,-0.254140192,2,2,5,0.08,0,0.08,0.301121534,0.036230418,0.230772259
BE_LO_T3_P2,BELOT3,BE,LO,T3,P2,4.5,1.504077397,50.9731437,3.8034898,30.25900078,2,0,0,2,0.100329811,0.126930545,2,0.108024691,1,NA,NA,0.001028781,7.71805125,91.47408345,99.1921347,0,92.12,196,140,-7.430645161,-8.271774194,0.287280179,1.283880237,0,0.99,26.93,480.34,17.83661344,42.6,47.7,9.7,4.166,9.124,0.452,20.18584071,19.6618,53.44,119.34,923,64.62,2.59,18.08101852,27,3.893939394,11.99455308,35.925,-3.5,11.08018676,20.5,3,12.05758215,15.34596774,0.508870968,35.61470215,3.657933696,10.5,809,39.46341463,17.16884809,-0.254140192,2,3,7,0.0875,0,0.0875,0.301121534,0.094590068,0.475038791
BE_LO_T3_P3,BELOT3,BE,LO,T3,P3,12.5,2.525728644,50.9731862,3.8034802,36.11399841,2,0,0,2,0.292509106,0.362210557,2,0.415224913,1,NA,NA,0.003954424,5.773440225,67.2707919,73.04423213,0,51.09,108.7021277,77.6443769,-8.594802867,-8.161379928,0.370888289,0.643770857,0,0.99,40.21,467.4,11.62397414,44.5,46,9.5,3.834,5.862,0.308,19.03246753,12.7098,53.38,39.06,135,49.21,4.11,13.45987654,28,4.862068966,10.60877976,32,-3.5,10.70706456,20.5,2,10.67973856,14.0175,0.558870968,35.67807351,3.614916324,10.5,809,39.46341463,16.64233817,-0.254140192,2,3,7,4.166666667,0.675675676,4.842342342,0.341941234,0.095136095,0.479091484
BE_LO_T3_P4,BELOT3,BE,LO,T3,P4,35.5,3.569532696,50.9734077,3.8033575,26.00699997,2,0,0,2,0.642624575,0.557093427,2,0.740477038,1,NA,NA,0.007051986,5.949018675,69.09340295,75.04242163,0.015,130.48,277.6170213,198.2978723,-9.26344086,-8.594713262,0.368776153,1.716970576,0,0.99,33.65,468.12,13.91144131,50.8,40.7,8.6,3.815,6.348,0.343,18.50728863,11.653,91,47.94,187.6,51.33,4.58,30.08641975,30,4.082802548,11.56664615,32.425,-3.5,10.8566292,19.5,3,11.63154433,15.7766129,0.570967742,36.72566372,3.595876656,10.5,809,39.46341463,15.72530455,-0.254140192,3,3,8,106.9915254,3.826530612,110.818056,0.240583656,0.095136094,0.42475984
BE_LO_T3_P5,BELOT3,BE,LO,T3,P5,99.5,4.600157644,50.9741164,3.8027479,34.67399979,2,0,0,2,0.917762539,0.661563238,2,0.9375,1,NA,NA,0.008928348,7.384296675,85.13240891,92.51670559,0.03,10.44,22.21276596,15.8662614,-9.584229391,-8.380645161,0.229524207,1.375768049,0,0.99,28.29,465.33,16.4485684,39.8,49,11.2,3.964,8.256,0.472,17.49152542,44.352,158.68,73.58,446,66.71,4.35,5.802469136,27.5,2.96969697,11.37033641,31.925,-4,11.44389313,20.5,2.5,11.43560458,15.87016129,0.462903226,41.613723,3.913529567,10.5,809,39.46341463,15.24242523,-0.254140192,2,3,7,33.26923077,19,52.26923077,0.364801088,0.279986935,0.51209065
